id,empleado_id,cliente_id,fecha,hora,fecha_cerrado,hora_cerrado,serie,forma_pago_id,cuenta,subtotal,iva,total,facturado,cancelado
40000,1040,43299,06/10/2021,11:56:58,06/10/2021,11:57:10,NDPYA037LXV,1,,65.09,10.41,75.5,NO,NO
40001,1040,43315,06/10/2021,11:58:11,06/10/2021,11:58:20,NDPYA0280M9,1,,55.95,8.95,64.9,NO,NO
40002,1040,43140,06/10/2021,12:01:09,06/10/2021,12:01:57,NDPYA0245WP,1,,229.82,36.76,266.58,NO,NO
40003,1040,43321,06/10/2021,12:02:12,06/10/2021,12:02:24,NDPYA019EJS,1,,29.31,4.69,34,NO,NO
40004,1378,43332,06/10/2021,12:05:35,06/10/2021,12:07:31,NDPMA027YX8,1,,185.52,29.69,215.21,NO,NO
40005,1378,43341,06/10/2021,12:08:50,06/10/2021,12:09:04,NDPMA0279KC,1,,163.62,26.18,189.8,NO,NO
40006,1378,43364,06/10/2021,12:09:12,06/10/2021,12:09:28,NDPMA0266Y5,1,,25.78,4.12,29.9,NO,NO
40007,1378,43380,06/10/2021,12:10:34,06/10/2021,12:10:40,NDPMA022ZS7,1,,17.16,2.75,19.91,NO,NO
40008,1378,43383,06/10/2021,12:11:06,06/10/2021,12:11:10,NDPMA022GSU,1,,11.21,1.79,13,NO,NO
40009,1378,43385,06/10/2021,12:11:18,06/10/2021,12:11:27,NDPMA025DAG,1,,51.21,8.19,59.4,NO,NO
40010,1040,7534,06/10/2021,12:17:39,06/10/2021,12:17:46,NDPYA034MF6,1,,17.67,2.83,20.5,NO,NO
40011,1040,43391,06/10/2021,12:18:36,06/10/2021,12:19:01,NDPYA032JT5,1,,112.85,18.05,130.9,NO,NO
40012,1378,43393,06/10/2021,12:21:09,06/10/2021,12:21:52,NDPMA026QGH,1,,132.85,21.26,154.11,NO,NO
40013,1040,43398,06/10/2021,12:26:48,06/10/2021,12:27:10,NDPYA0342SA,1,,216.72,34.68,251.4,NO,NO
40014,1378,26994,06/10/2021,12:27:32,06/10/2021,12:27:34,NDPMA028PKF,1,,5.95,0.95,6.9,NO,NO
40015,1040,33912,06/10/2021,12:27:44,06/10/2021,12:27:52,NDPYA031TMS,1,,19.83,3.17,23,NO,NO
40016,1040,52656,06/10/2021,12:34:57,06/10/2021,12:38:58,NDPYA033Z9B,1,,167.59,26.81,194.4,SI,NO
40017,1378,41744,06/10/2021,12:37:50,06/10/2021,12:39:41,NDPMA0298L8,1,,283.44,45.37,328.81,NO,NO
40018,1040,43401,06/10/2021,12:39:34,06/10/2021,12:40:09,NDPYA033V06,1,,164.13,26.27,190.4,NO,NO
40019,1378,52664,06/10/2021,12:40:20,06/10/2021,12:41:30,NDPMA0205OE,1,,32.58,5.22,37.8,NO,NO
40020,1040,52676,06/10/2021,12:41:52,06/10/2021,12:42:29,NDPYA026EZB,1,,133.62,21.38,155,NO,NO
40021,1040,43415,06/10/2021,12:44:04,06/10/2021,12:44:10,NDPYA026UN1,1,,15.09,2.41,17.5,NO,NO
40022,1378,41727,06/10/2021,12:46:52,06/10/2021,12:47:38,NDPMA031MQJ,1,,224.14,35.86,260,SI,NO
40023,1378,41761,06/10/2021,12:48:22,06/10/2021,12:49:15,NDPMA030AJT,1,,87.24,13.96,101.2,NO,NO
40024,1378,41671,06/10/2021,12:49:32,06/10/2021,12:51:09,NDPMA0328J7,1,,411.81,65.89,477.7,SI,NO
